experiment_id,robots,random_seed,simulation_duration,simulated_time,task_interval,dispatch_strategy,tasks_generated,completed_tasks,completed_by_horizon,waiting_tasks,throughput,distance,wait_steps,idle_steps,plans_created,average_queue_time,average_cycle_time,drain_time,fleet_utilization,completion_rate
R2_S5_I10_Dfirst_available,2,5,600,911,10,first_available,63,63,41,0,4.1,1811,0,11,254,157.29,185.84,311,100.0,65.08
R3_S1_I10_Dfirst_available,3,1,600,617,10,first_available,63,63,60,0,6.0,1842,0,9,396,7.27,35.9,17,98.28,95.24
R3_S2_I10_Dfirst_available,3,2,600,626,10,first_available,63,63,60,0,6.0,1878,0,0,366,10.63,40.0,26,100.0,95.24
R3_S3_I10_Dfirst_available,3,3,600,625,10,first_available,63,63,60,0,6.0,1874,0,1,367,15.33,44.57,25,100.0,95.24
R3_S4_I10_Dfirst_available,3,4,600,620,10,first_available,63,63,61,0,6.1,1818,0,42,423,5.7,33.7,20,96.28,96.83
R3_S5_I10_Dfirst_available,3,5,600,624,10,first_available,63,63,61,0,6.1,1860,0,12,385,13.78,42.6,24,98.94,96.83
R4_S1_I10_Dfirst_available,4,1,600,613,10,first_available,63,63,61,0,6.1,2093,2,357,651,1.16,27.98,13,69.62,96.83
R4_S2_I10_Dfirst_available,4,2,600,614,10,first_available,63,63,61,0,6.1,2140,4,312,616,1.14,29.1,14,72.25,96.83
R4_S3_I10_Dfirst_available,4,3,600,613,10,first_available,63,63,61,0,6.1,2168,0,283,636,1.16,28.29,13,70.5,96.83
R4_S4_I10_Dfirst_available,4,4,600,620,10,first_available,63,63,61,0,6.1,2157,1,322,642,1.13,27.9,20,69.25,96.83
R4_S5_I10_Dfirst_available,4,5,600,622,10,first_available,63,63,61,0,6.1,2183,1,304,660,1.13,28.84,22,71.71,96.83
R5_S1_I10_Dfirst_available,5,1,600,620,10,first_available,63,63,61,0,6.1,2144,2,954,644,0.94,28.44,20,56.73,96.83
R5_S2_I10_Dfirst_available,5,2,600,615,10,first_available,63,63,61,0,6.1,2209,0,866,668,0.94,29.33,15,58.67,96.83
R5_S3_I10_Dfirst_available,5,3,600,611,10,first_available,63,63,60,0,6.0,2129,0,926,648,0.94,27.33,11,54.77,95.24
R5_S4_I10_Dfirst_available,5,4,600,611,10,first_available,63,63,61,0,6.1,2079,1,975,646,0.94,28.1,11,56.37,96.83
R5_S5_I10_Dfirst_available,5,5,600,620,10,first_available,63,63,61,0,6.1,2122,1,977,671,0.94,28.25,20,56.07,96.83
R6_S1_I10_Dfirst_available,6,1,600,614,10,first_available,63,63,61,0,6.1,2145,0,1539,678,0.94,28.7,14,48.11,96.83
R6_S2_I10_Dfirst_available,6,2,600,615,10,first_available,63,63,61,0,6.1,2176,1,1513,666,0.94,28.41,15,47.28,96.83
R6_S3_I10_Dfirst_available,6,3,600,611,10,first_available,63,63,60,0,6.0,2127,1,1538,620,0.94,27.81,11,46.47,95.24
R6_S4_I10_Dfirst_available,6,4,600,624,10,first_available,63,63,61,0,6.1,2128,1,1615,640,0.94,27.78,24,46.11,96.83
R6_S5_I10_Dfirst_available,6,5,600,623,10,first_available,63,63,61,0,6.1,2237,3,1497,646,0.94,28.71,23,47.5,96.83
R1_S1_I15_Dfirst_available,1,1,600,1167,15,first_available,43,43,22,0,2.2,1167,0,0,87,291.12,318.26,567,100.0,51.16
R1_S2_I15_Dfirst_available,1,2,600,1227,15,first_available,43,43,21,0,2.1,1227,0,0,87,322.56,351.09,627,100.0,48.84
R1_S3_I15_Dfirst_available,1,3,600,1195,15,first_available,43,43,21,0,2.1,1195,0,0,87,308.33,336.12,595,100.0,48.84
R1_S4_I15_Dfirst_available,1,4,600,1187,15,first_available,43,43,21,0,2.1,1187,0,0,87,303.4,331.0,587,100.0,48.84
R1_S5_I15_Dfirst_available,1,5,600,1191,15,first_available,43,43,21,0,2.1,1191,0,0,87,304.7,332.4,591,100.0,48.84
R2_S1_I15_Dfirst_available,2,1,600,615,15,first_available,43,43,41,0,4.1,1230,0,0,180,15.98,44.33,15,99.17,95.35
R2_S2_I15_Dfirst_available,2,2,600,640,15,first_available,43,43,40,0,4.0,1266,0,14,174,24.49,53.67,40,100.0,93.02
R2_S3_I15_Dfirst_available,2,3,600,628,15,first_available,43,43,41,0,4.1,1254,0,2,174,26.81,55.53,28,100.0,95.35
R2_S4_I15_Dfirst_available,2,4,600,618,15,first_available,43,43,41,0,4.1,1236,0,0,178,16.0,44.19,18,99.08,95.35
R2_S5_I15_Dfirst_available,2,5,600,623,15,first_available,43,43,41,0,4.1,1246,0,0,174,23.42,52.14,23,100.0,95.35
R3_S1_I15_Dfirst_available,3,1,600,609,15,first_available,43,43,41,0,4.1,1551,1,275,325,1.95,30.35,9,67.11,95.35
R3_S2_I15_Dfirst_available,3,2,600,617,15,first_available,43,43,41,0,4.1,1659,1,191,353,1.95,31.84,17,69.94,95.35
R3_S3_I15_Dfirst_available,3,3,600,615,15,first_available,43,43,42,0,4.2,1577,2,266,343,1.95,29.56,15,65.11,97.67
R3_S4_I15_Dfirst_available,3,4,600,611,15,first_available,43,43,41,0,4.1,1441,0,392,302,1.95,29.19,11,64.28,95.35
R3_S5_I15_Dfirst_available,3,5,600,611,15,first_available,43,43,42,0,4.2,1587,0,246,341,2.02,30.21,11,66.72,97.67
R4_S1_I15_Dfirst_available,4,1,600,624,15,first_available,43,43,41,0,4.1,1590,2,904,349,0.98,27.86,24,47.0,95.35
R4_S2_I15_Dfirst_available,4,2,600,613,15,first_available,43,43,41,0,4.1,1623,1,828,377,0.98,29.67,13,50.42,95.35
R4_S3_I15_Dfirst_available,4,3,600,609,15,first_available,43,43,41,0,4.1,1617,1,818,379,0.98,28.95,9,49.54,95.35
R4_S4_I15_Dfirst_available,4,4,600,615,15,first_available,43,43,42,0,4.2,1665,0,795,373,0.98,29.79,15,51.0,97.67
R4_S5_I15_Dfirst_available,4,5,600,615,15,first_available,43,43,41,0,4.1,1586,0,874,352,0.98,30.56,15,51.88,95.35
R5_S1_I15_Dfirst_available,5,1,600,619,15,first_available,43,43,41,0,4.1,1546,1,1548,355,0.91,28.35,19,38.6,95.35
R5_S2_I15_Dfirst_available,5,2,600,615,15,first_available,43,43,42,0,4.2,1639,1,1435,373,0.91,30.0,15,41.2,97.67
R5_S3_I15_Dfirst_available,5,3,600,615,15,first_available,43,43,42,0,4.2,1603,2,1470,368,0.91,28.49,15,39.03,97.67
R5_S4_I15_Dfirst_available,5,4,600,615,15,first_available,43,43,41,0,4.1,1648,0,1426,368,0.91,29.19,15,40.0,95.35
R5_S5_I15_Dfirst_available,5,5,600,611,15,first_available,43,43,42,0,4.2,1704,2,1349,394,0.91,29.14,11,40.1,97.67
R6_S1_I15_Dfirst_available,6,1,600,624,15,first_available,43,43,41,0,4.1,1580,3,2161,343,0.91,28.81,24,32.58,95.35
R6_S2_I15_Dfirst_available,6,2,600,615,15,first_available,43,43,42,0,4.2,1577,2,2111,360,0.91,29.12,15,33.28,97.67
R6_S3_I15_Dfirst_available,6,3,600,609,15,first_available,43,43,41,0,4.1,1607,0,2047,371,0.91,28.51,9,32.58,95.35
R6_S4_I15_Dfirst_available,6,4,600,620,15,first_available,43,43,42,0,4.2,1522,1,2197,335,0.91,27.91,20,31.69,97.67
R6_S5_I15_Dfirst_available,6,5,600,611,15,first_available,43,43,42,0,4.2,1638,2,2026,378,0.91,27.95,11,32.0,97.67
R1_S1_I20_Dfirst_available,1,1,600,887,20,first_available,33,33,22,0,2.2,887,0,0,67,164.61,191.48,287,100.0,66.67
R1_S2_I20_Dfirst_available,1,2,600,943,20,first_available,33,33,21,0,2.1,943,0,0,67,186.42,215.0,343,100.0,63.64
R1_S3_I20_Dfirst_available,1,3,600,915,20,first_available,33,33,21,0,2.1,915,0,0,67,178.3,206.03,315,100.0,63.64
R1_S4_I20_Dfirst_available,1,4,600,915,20,first_available,33,33,21,0,2.1,915,0,0,67,171.27,199.0,315,100.0,63.64
R1_S5_I20_Dfirst_available,1,5,600,915,20,first_available,33,33,21,0,2.1,915,0,0,67,173.7,201.42,315,100.0,63.64
R2_S1_I20_Dfirst_available,2,1,600,619,20,first_available,33,33,32,0,3.2,1140,0,98,180,5.06,31.36,19,70.75,96.97
R2_S2_I20_Dfirst_available,2,2,600,612,20,first_available,33,33,32,0,3.2,1127,1,96,174,5.18,33.0,12,75.5,96.97
R2_S3_I20_Dfirst_available,2,3,600,600,20,first_available,33,33,33,0,3.3,1121,0,79,160,5.42,32.94,0,75.67,100.0
R2_S4_I20_Dfirst_available,2,4,600,600,20,first_available,33,33,33,0,3.3,1134,0,66,181,4.97,31.97,0,74.25,100.0
R2_S5_I20_Dfirst_available,2,5,600,608,20,first_available,33,33,32,0,3.2,1161,0,55,179,5.42,34.03,8,78.0,96.97
R3_S1_I20_Dfirst_available,3,1,600,619,20,first_available,33,33,32,0,3.2,1232,0,625,206,1.82,29.61,19,49.89,96.97
R3_S2_I20_Dfirst_available,3,2,600,612,20,first_available,33,33,32,0,3.2,1175,0,661,203,1.82,28.85,12,48.89,96.97
R3_S3_I20_Dfirst_available,3,3,600,600,20,first_available,33,33,33,0,3.3,1222,0,578,213,1.82,28.94,0,49.72,100.0
R3_S4_I20_Dfirst_available,3,4,600,615,20,first_available,33,33,32,0,3.2,1176,0,669,202,1.82,28.67,15,48.39,96.97
R3_S5_I20_Dfirst_available,3,5,600,600,20,first_available,33,33,33,0,3.3,1234,0,566,213,1.82,29.76,0,51.22,100.0
R4_S1_I20_Dfirst_available,4,1,600,619,20,first_available,33,33,32,0,3.2,1236,0,1240,217,0.88,27.03,19,35.17,96.97
R4_S2_I20_Dfirst_available,4,2,600,612,20,first_available,33,33,32,0,3.2,1155,0,1293,213,0.88,27.52,12,36.12,96.97
R4_S3_I20_Dfirst_available,4,3,600,600,20,first_available,33,33,33,0,3.3,1204,1,1195,219,0.88,27.55,0,36.67,100.0
R4_S4_I20_Dfirst_available,4,4,600,615,20,first_available,33,33,32,0,3.2,1200,0,1260,223,0.88,27.58,15,36.08,96.97
R4_S5_I20_Dfirst_available,4,5,600,607,20,first_available,33,33,32,0,3.2,1228,0,1200,228,0.88,28.76,7,38.04,96.97
R5_S1_I20_Dfirst_available,5,1,600,619,20,first_available,33,33,32,0,3.2,1172,0,1923,209,0.88,27.61,19,28.77,96.97
R5_S2_I20_Dfirst_available,5,2,600,612,20,first_available,33,33,32,0,3.2,1121,0,1939,207,0.88,27.45,12,28.83,96.97
R5_S3_I20_Dfirst_available,5,3,600,600,20,first_available,33,33,33,0,3.3,1164,1,1835,211,0.88,27.39,0,29.17,100.0
R5_S4_I20_Dfirst_available,5,4,600,615,20,first_available,33,33,32,0,3.2,1168,0,1907,216,0.88,27.36,15,28.63,96.97
R5_S5_I20_Dfirst_available,5,5,600,607,20,first_available,33,33,32,0,3.2,1198,0,1837,218,0.88,28.61,7,30.27,96.97
R6_S1_I20_Dfirst_available,6,1,600,619,20,first_available,33,33,32,0,3.2,1170,0,2544,209,0.88,27.48,19,23.86,96.97
R6_S2_I20_Dfirst_available,6,2,600,612,20,first_available,33,33,32,0,3.2,1119,0,2553,206,0.88,27.33,12,23.92,96.97
R6_S3_I20_Dfirst_available,6,3,600,600,20,first_available,33,33,33,0,3.3,1138,0,2462,207,0.88,27.12,0,24.06,100.0
R6_S4_I20_Dfirst_available,6,4,600,615,20,first_available,33,33,32,0,3.2,1168,0,2522,216,0.88,27.36,15,23.86,96.97
R6_S5_I20_Dfirst_available,6,5,600,607,20,first_available,33,33,32,0,3.2,1198,0,2444,218,0.88,28.61,7,25.22,96.97
